location,Unnamed: 0,area_type,availability,total_sqft,bath,balcony,price,Number_of_Bedrooms,total_sqm,Dollar_Price,price_per_sqm,neighborhood
1st Phase JP Nagar,13083,Super built-up  Area,Ready To Move,4550.0,7,3,400.0,5,422.70865,489520.0,2773.237735,Tier 2
5th Phase JP Nagar,13001,Super built-up  Area,Ready To Move,4000.0,8,3,228.0,7,371.612,279026.4,1251.423528,Tier 4
7th Phase JP Nagar,13261,Super built-up  Area,Ready To Move,4800.0,7,3,410.0,7,445.9344,501758.0,2195.479873,Tier 4
8th Phase JP Nagar,13267,Super built-up  Area,Ready To Move,3300.0,5,3,230.0,5,306.5799,281474.0,1683.201236,Tier 4
9th Phase JP Nagar,13188,Super built-up  Area,Ready To Move,5000.0,4,3,290.0,4,464.515,354902.0,878.1919493,Tier 4
Abbigere,13118,Super built-up  Area,Ready To Move,3000.0,8,2,150.0,8,278.709,183570.0,658.643962,Tier 4
Akshaya Nagar,12428,Super built-up  Area,Ready To Move,2650.0,4,3,200.0,4,246.19295,244760.0,1494.794807,Tier 4
Ambalipura,13255,Super built-up  Area,Ready To Move,3300.0,4,3,329.0,4,306.5799,402630.2,1658.456019,Tier 4
Ambedkar Nagar,13232,Super built-up  Area,Ready To Move,5530.0,5,3,627.0,5,513.75359,767322.6,2070.023881,Tier 2
Amruthahalli,12294,Super built-up  Area,Ready To Move,4400.0,5,3,475.0,3,408.7732,581305.0,2195.479873,Tier 4
Anandapura,13163,Super built-up  Area,Ready To Move,1749.0,4,2,90.0,4,162.487347,110142.0,936.7380793,Tier 4
Ananth Nagar,11905,Super built-up  Area,Ready To Move,1470.0,3,3,65.0,3,136.56741,79547.0,713.5309588,Tier 4
Anekal,12923,Super built-up  Area,Ready To Move,2400.0,4,2,120.0,3,222.9672,146856.0,911.8808819,Tier 4
Anjanapura,11371,Super built-up  Area,Ready To Move,1850.0,4,2,165.0,4,171.87055,201927.0,1811.270895,Tier 4
Ardendale,11949,Super built-up  Area,Ready To Move,4355.0,4,3,350.0,5,404.592565,428330.0,1317.287924,Tier 4
Attibele,12614,Super built-up  Area,Ready To Move,3640.0,4,3,275.0,4,338.16692,336545.0,1372.174921,Tier 4
BTM 2nd Stage,12906,Super built-up  Area,Ready To Move,2990.0,5,3,450.0,5,277.77997,550710.0,3951.863772,Tier 4
Babusapalaya,12927,Super built-up  Area,Ready To Move,1675.0,3,3,105.0,3,155.612525,128499.0,1152.626933,Tier 4
Balagere,12521,Super built-up  Area,Ready To Move,1590.0,3,2,83.0,3,147.71577,101575.4,1123.268772,Tier 4
Banashankari,12975,Super built-up  Area,Ready To Move,3580.0,5,3,500.0,4,332.59274,611900.0,2744.349842,Tier 4
Banashankari Stage III,12622,Super built-up  Area,Ready To Move,8500.0,6,3,240.0,6,789.6755,293712.0,2316.110636,Tier 4
Bannerghatta Road,13292,Super built-up  Area,Ready To Move,10000.0,5,3,500.0,5,929.03,611900.0,2098.878759,Tier 4
Basavangudi,12963,Super built-up  Area,Ready To Move,2600.0,4,3,300.0,4,241.5478,367140.0,2140.592876,Tier 2
Basaveshwara Nagar,10636,Super built-up  Area,Ready To Move,4500.0,7,3,415.0,7,418.0635,507877.0,2277.810369,Tier 3
Battarahalli,12920,Super built-up  Area,Ready To Move,2700.0,3,3,104.0,4,250.8381,127275.2,1031.87554,Tier 4
Begur,12730,Super built-up  Area,Ready To Move,3500.0,4,3,185.0,4,325.1605,226403.0,1104.82213,Tier 4
Begur Road,13075,Super built-up  Area,Ready To Move,2462.0,6,3,152.0,4,228.727186,186017.6,894.8528737,Tier 4
Bellandur,13312,Super built-up  Area,Ready To Move,4239.0,5,3,423.0,5,393.815817,517667.4,1481.659528,Tier 4
Bhoganhalli,13272,Super built-up  Area,Ready To Move,2439.0,5,3,190.0,4,226.590417,232522.0,1167.063263,Tier 3
Billekahalli,13155,Super built-up  Area,Ready To Move,2400.0,3,3,190.0,4,222.9672,232522.0,1496.918095,Tier 4
Binny Pete,13015,Super built-up  Area,Not Ready,2940.0,6,2,289.0,4,273.13482,353678.2,1828.995713,Tier 1
Bisuvanahalli,12592,Super built-up  Area,Ready To Move,1200.0,3,2,90.0,3,111.4836,110142.0,1102.845704,Tier 4
Bommanahalli,13013,Super built-up  Area,Ready To Move,3000.0,8,3,140.0,8,278.709,171332.0,790.7448696,Tier 4
Bommasandra,13147,Super built-up  Area,Ready To Move,1447.0,3,3,110.0,3,134.430641,134618.0,1207.51393,Tier 4
Bommasandra Industrial Area,12807,Super built-up  Area,Ready To Move,7000.0,3,3,135.0,3,650.321,165213.0,526.9151696,Tier 4
Brookefield,12929,Super built-up  Area,Ready To Move,3675.0,6,3,425.0,5,341.418525,520115.0,2294.456425,Tier 4
Budigere,13288,Super built-up  Area,Ready To Move,1991.0,4,2,103.0,3,184.969873,126051.4,839.2693144,Tier 3
CV Raman Nagar,13055,Super built-up  Area,Ready To Move,1980.0,4,3,180.0,3,183.94794,220284.0,1197.534476,Tier 4
Chandapura,13254,Super built-up  Area,Ready To Move,4800.0,4,3,250.0,4,445.9344,305950.0,713.5309588,Tier 4
Channasandra,13225,Super built-up  Area,Ready To Move,4278.0,7,2,300.0,7,397.439034,367140.0,2195.479873,Tier 4
Chikkalasandra,12818,Super built-up  Area,Ready To Move,1800.0,3,3,128.0,3,167.2254,156646.4,936.7380793,Tier 4
Choodasandra,13148,Super built-up  Area,Ready To Move,3204.0,4,3,395.0,4,297.661212,483401.0,1623.997285,Tier 4
Dasarahalli,12879,Super built-up  Area,Ready To Move,2400.0,3,3,152.0,7,222.9672,186017.6,856.2865612,Tier 4
Devanahalli,13235,Super built-up  Area,Ready To Move,5000.0,5,3,465.0,5,464.515,569067.0,1591.722908,Tier 4
