,area_type,availability,location,total_sqft,bath,balcony,price,Number_of_Bedrooms,total_sqm,Dollar_Price,price_per_sqm,neighborhood
0,Super built-up  Area,Ready To Move,Mahadevpura,1475,2.0,2.0,55.0,2,137.031925,67309.0,491.1921072407032,Tier 4
1,Super built-up  Area,Ready To Move,Mahadevpura,1532,2.0,2.0,62.0,2,142.327396,75875.59999999999,533.1060788887053,Tier 4
2,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1430,2.0,1.0,50.0,3,132.85129,61190.0,460.59018320409234,Tier 4
3,Super built-up  Area,Ready To Move,Malleshpalya,1052,2.0,2.0,50.0,2,97.733956,61190.0,626.087416332559,Tier 3
4,Super built-up  Area,Ready To Move,Malleshpalya,1065,2.0,2.0,50.0,2,98.941695,61190.0,618.4450347247438,Tier 3
5,Super built-up  Area,Ready To Move,Konanakunte,1400,2.0,1.0,73.0,3,130.0642,89337.4,686.8715603525028,Tier 3
6,Built-up  Area,Ready To Move,Malleshwaram,580,1.0,1.0,45.0,1,53.88374,55071.0,1022.0337341097703,Tier 1
7,Super built-up  Area,Ready To Move,Marathahalli,1230,2.0,2.0,80.0,2,114.27069,97904.0,856.7726334723278,Tier 2
10,Super built-up  Area,Ready To Move,Shree Ananth Nagar Layout,1210,2.0,2.0,60.0,2,112.41263,73428.0,653.2006234530764,Tier 3
11,Super built-up  Area,Ready To Move,Shree Ananth Nagar Layout,2040,2.0,2.0,59.0,2,189.52212,72204.2,380.98033095028694,Tier 4
12,Super built-up  Area,Ready To Move,Whitefield,1600,3.0,2.0,95.0,3,148.6448,116261.0,782.1397048534493,Tier 2
13,Super built-up  Area,Not Ready,Vishwapriya Nagar,946,2.0,1.0,38.0,2,87.886238,46504.4,529.1431407042363,Tier 4
14,Built-up  Area,Ready To Move,Marathahalli,1270,2.0,2.0,80.0,2,117.98681,97904.0,829.7876686385537,Tier 2
15,Super built-up  Area,Ready To Move,Kodichikkanahalli,1125,2.0,1.0,52.0,2,104.515875,63637.6,608.879751521001,Tier 3
16,Super built-up  Area,Not Ready,Anekal,1140,2.0,2.0,52.0,2,105.90942,63637.6,600.8681758430931,Tier 3
17,Super built-up  Area,Ready To Move,Govindapura,1310,2.0,1.0,88.0,2,121.70293,107694.4,884.8957046473737,Tier 2
18,Built-up  Area,Ready To Move,Somasundara Palya,1255,2.0,2.0,67.0,2,116.593265,81994.59999999999,703.2533139885909,Tier 2
19,Super built-up  Area,Ready To Move,Somasundara Palya,1174,2.0,3.0,74.0,2,109.068122,90561.2,830.3177714933057,Tier 2
20,Super built-up  Area,Ready To Move,Sarjapur  Road,1200,2.0,2.0,75.0,2,111.4836,91785.0,823.304952477315,Tier 2
