,area_type,availability,location,total_sqft,bath,balcony,price,Number_of_Bedrooms,total_sqm,Dollar_Price,price_per_sqm,neighborhood
271,Built-up  Area,Not Ready,Kengeri,340,1,1,10,1,31.58702,12238,387.4376247,Tier 4
683,Built-up  Area,Ready To Move,Yelahanka New Town,350,1,1,13.5,1,32.51605,16521.3,508.0967707,Tier 4
480,Built-up  Area,Ready To Move, Anekal,351,1,1,16,1,32.608953,19580.8,600.4731277,Tier 3
8850,Super built-up  Area,Ready To Move,Electronics City Phase 1,360,1,0,16.9,1,33.44508,20682.22,618.3934976,Tier 3
5860,Super built-up  Area,Ready To Move,Ramamurthy Nagar,360,1,1,26,1,33.44508,31818.8,951.3746118,Tier 1
3824,Plot  Area,Ready To Move,BTM 1st Stage,375,1,0,40,1,34.838625,48952,1405.107119,Tier 1
1407,Built-up  Area,Ready To Move,KG Halli,375,1,0,26,1,34.838625,31818.8,913.3196273,Tier 1
91,Built-up  Area,Ready To Move,Shampura,375,2,0,26,1,34.838625,31818.8,913.3196273,Tier 1
2464,Carpet  Area,Not Ready,Kanakpura Road,381,1,0,28,1,35.396043,34266.4,968.0856134,Tier 1
2475,Carpet  Area,Not Ready,Kanakpura Road,381,1,1,28,1,35.396043,34266.4,968.0856134,Tier 1
460,Built-up  Area,Ready To Move,Attibele,395,1,1,10.25,1,36.696685,12543.95,341.827879,Tier 4
1651,Built-up  Area,Ready To Move,Anekal,400,1,1,11.5,1,37.1612,14073.7,378.7202781,Tier 4
177,Built-up  Area,Ready To Move,Attibele,400,1,1,11,1,37.1612,13461.8,362.2541791,Tier 4
192,Built-up  Area,Ready To Move,Attibele,400,1,1,12,1,37.1612,14685.6,395.1863772,Tier 4
280,Built-up  Area,Ready To Move,Attibele,400,1,1,14,1,37.1612,17133.2,461.0507734,Tier 4
1527,Built-up  Area,Ready To Move,Attibele,400,1,1,11.5,1,37.1612,14073.7,378.7202781,Tier 4
8076,Super built-up  Area,Ready To Move,Attibele,400,1,1,10,1,37.1612,12238,329.321981,Tier 4
12384,Super built-up  Area,Ready To Move,Attibele,400,1,1,10.25,1,37.1612,12543.95,337.5550305,Tier 4
440,Built-up  Area,Ready To Move,Austin Town,400,1,0,14,1,37.1612,17133.2,461.0507734,Tier 4
1420,Built-up  Area,Ready To Move,Kadarenahalli,400,1,0,35,1,37.1612,42833,1152.626933,Tier 1
9169,Super built-up  Area,Ready To Move,Kengeri,400,2,1,25,1,37.1612,30595,823.3049525,Tier 2
11903,Super built-up  Area,Ready To Move,Kengeri,400,1,1,25,1,37.1612,30595,823.3049525,Tier 2
4317,Plot  Area,Ready To Move,Madiwala,400,1,1,75,1,37.1612,91785,2469.914857,Tier 1
2528,Plot  Area,Ready To Move,Nagavara,400,1,0,14,1,37.1612,17133.2,461.0507734,Tier 4
4059,Plot  Area,Ready To Move,Ramchandrapuram,400,2,1,50,1,37.1612,61190,1646.609905,Tier 1
1290,Built-up  Area,Ready To Move,Yeshwanthpur,400,1,0,55,1,37.1612,67309,1811.270895,Tier 1
2007,Built-up  Area,Ready To Move,Attibele,410,1,1,10,1,38.09023,12238,321.2897376,Tier 4
12814,Super built-up  Area,Ready To Move,Chandapura,410,1,1,10,1,38.09023,12238,321.2897376,Tier 4
2012,Built-up  Area,Ready To Move,Kengeri,410,1,1,15,1,38.09023,18357,481.9346063,Tier 4
10354,Super built-up  Area,Ready To Move,Kengeri Satellite Town,410,1,1,15,1,38.09023,18357,481.9346063,Tier 4
4263,Plot  Area,Ready To Move,Moodalapalya,410,1,1,48,1,38.09023,58742.4,1542.19074,Tier 1
7540,Super built-up  Area,Not Ready,Kengeri,416,1,1,19.5,1,38.647648,23864.1,617.4787144,Tier 3
10015,Super built-up  Area,Not Ready,Kengeri,416,1,1,18,1,38.647648,22028.4,569.9803517,Tier 3
12047,Super built-up  Area,Not Ready,Kengeri,416,1,1,17.19,1,38.647648,21037.122,544.3312359,Tier 4
4920,Super built-up  Area,Not Ready,Venkatapura,416,1,1,18.5,1,38.647648,22640.3,585.8131393,Tier 3
890,Built-up  Area,Ready To Move,Attibele,418,1,1,12,1,38.833454,14685.6,378.168782,Tier 4
10262,Super built-up  Area,Ready To Move,Attibele,418,2,1,11.5,1,38.833454,14073.7,362.4117494,Tier 4
11696,Super built-up  Area,Ready To Move,Electronic City,418,1,1,12,1,38.833454,14685.6,378.168782,Tier 4
11882,Super built-up  Area,Ready To Move,Kodipalya,418,1,1,17,1,38.833454,20804.6,535.7391078,Tier 4
2175,Built-up  Area,Ready To Move,Anekal,420,1,1,12.5,1,39.01926,15297.5,392.0499774,Tier 4
655,Built-up  Area,Ready To Move,Attibele,420,1,1,17,1,39.01926,20804.6,533.1879692,Tier 4
1599,Built-up  Area,Ready To Move,Raghuvanahalli,420,1,1,23.5,1,39.01926,28759.3,737.0539575,Tier 2
9934,Super built-up  Area,Ready To Move,Alur,425,1,1,15,1,39.483775,18357,464.9251496,Tier 4
138,Built-up  Area,Ready To Move,P&T Colony,425,1,0,20.03,1,39.483775,24512.714,620.8300498,Tier 3
1396,Built-up  Area,Ready To Move,Raghuvanahalli,425,1,1,750,1,39.483775,917850,23246.25748,Tier 1
878,Built-up  Area,Ready To Move, Electronic City,435,1,1,19.5,1,40.412805,23864.1,590.5083797,Tier 3
9101,Super built-up  Area,Ready To Move,Electronic City,435,1,1,21,1,40.412805,25699.8,635.9321012,Tier 3
9390,Super built-up  Area,Ready To Move,Electronic City,435,1,1,22,1,40.412805,26923.6,666.2145822,Tier 3
6365,Super built-up  Area,Not Ready, Rachenahalli,440,1,0,28,1,40.87732,34266.4,838.2741334,Tier 2
783,Built-up  Area,Ready To Move,Magadi Road,440,1,0,35,1,40.87732,42833,1047.842667,Tier 1
7448,Super built-up  Area,Not Ready,Rachenahalli,440,1,1,28,1,40.87732,34266.4,838.2741334,Tier 2
5474,Super built-up  Area,Ready To Move,Yelahanka New Town,440,1,1,16.5,1,40.87732,20192.7,493.9829715,Tier 4
5046,Super built-up  Area,Ready To Move, Thanisandra,445,1,0,28,1,41.341835,34266.4,828.8553229,Tier 2
1286,Built-up  Area,Ready To Move,Attibele,450,1,1,12.5,1,41.80635,15297.5,365.9133122,Tier 4
4640,Super built-up  Area,Ready To Move,Attibele,450,1,1,11,1,41.80635,13461.8,322.0037147,Tier 4
10880,Super built-up  Area,Ready To Move,BTM Layout,450,1,1,20,1,41.80635,24476,585.4612995,Tier 3
1555,Built-up  Area,Ready To Move,Chandapura,450,1,1,9,1,41.80635,11014.2,263.4575848,Tier 4
13033,Super built-up  Area,Ready To Move,Harsha Layout,450,1,1,20,1,41.80635,24476,585.4612995,Tier 3
2174,Built-up  Area,Ready To Move,Hulimavu,450,1,1,20,1,41.80635,24476,585.4612995,Tier 3
3977,Plot  Area,Ready To Move,Kamakshipalya,450,1,0,30,1,41.80635,36714,878.1919493,Tier 2
1430,Built-up  Area,Ready To Move,Kodichikkanahalli,450,1,1,18,1,41.80635,22028.4,526.9151696,Tier 4
7912,Super built-up  Area,Ready To Move,Kuvempu Nagar,450,1,1,25,1,41.80635,30595,731.8266244,Tier 2
1219,Built-up  Area,Ready To Move,Lingarajapuram,450,1,2,60,1,41.80635,73428,1756.383899,Tier 1
1310,Built-up  Area,Ready To Move,Yelahanka New Town,450,1,0,16,1,41.80635,19580.8,468.3690396,Tier 4
10325,Super built-up  Area,Ready To Move,Yelahanka New Town,450,1,1,15,1,41.80635,18357,439.0959747,Tier 4
4782,Super built-up  Area,Not Ready,8th Phase JP Nagar,451,1,0,29.9,1,41.899253,36591.62,873.323923,Tier 2
10668,Super built-up  Area,Ready To Move,Anekal,456,1,1,15,1,42.363768,18357,433.318396,Tier 4
2472,Carpet  Area,Ready To Move,Attibele,460,1,1,13,1,42.73538,15909.4,372.277022,Tier 4
6751,Super built-up  Area,Ready To Move,Hosur Road,460,1,1,21,1,42.73538,25699.8,601.370574,Tier 3
2967,Plot  Area,Ready To Move,sankeswari,461.82,1,1,31.7,1,42.90446346,38794.46,904.2056903,Tier 1
4944,Super built-up  Area,Ready To Move,Jalahalli West,469,1,0,25,1,43.571507,30595,702.1790639,Tier 2
9445,Super built-up  Area,Ready To Move,Alur,470,2,1,10,1,43.66441,12238,280.2740264,Tier 4
1757,Built-up  Area,Ready To Move,Rayasandra,470,1,1,21,1,43.66441,25699.8,588.5754554,Tier 3
12638,Super built-up  Area,Not Ready,Sarjapur  Road,475,1,1,26,1,44.128925,31818.8,721.041811,Tier 2
1218,Built-up  Area,Ready To Move,Kaval Byrasandra,480,1,1,25,1,44.59344,30595,686.0874604,Tier 3
8011,Super built-up  Area,Ready To Move,Malleshwaram,480,1,1,60,1,44.59344,73428,1646.609905,Tier 1
2155,Built-up  Area,Ready To Move,Amruthahalli,485,1,1,19.5,1,45.057955,23864.1,529.6312272,Tier 4
5347,Super built-up  Area,Ready To Move,Makali,485,1,1,15,1,45.057955,18357,407.4086363,Tier 4
1928,Built-up  Area,Ready To Move,Yelahanka New Town,488,1,1,20,1,45.336664,24476,539.8721,Tier 4
10619,Super built-up  Area,Not Ready,Vijayanagar,492,1,1,40,1,45.708276,48952,1070.965792,Tier 1
3966,Plot  Area,Ready To Move,7th Phase JP Nagar,500,1,0,70,1,46.4515,85666,1844.203094,Tier 1
2483,Carpet  Area,Not Ready,8th Phase JP Nagar,500,1,1,33,1,46.4515,40385.4,869.4100298,Tier 2
8041,Super built-up  Area,Not Ready,8th Phase JP Nagar,500,1,1,31,1,46.4515,37937.8,816.7185129,Tier 2
9322,Super built-up  Area,Not Ready,8th Phase JP Nagar,500,1,1,30,1,46.4515,36714,790.3727544,Tier 2
5240,Super built-up  Area,Not Ready,Ananth Nagar,500,1,1,14,1,46.4515,17133.2,368.8406187,Tier 4
5832,Super built-up  Area,Not Ready,Ananth Nagar,500,2,2,14,1,46.4515,17133.2,368.8406187,Tier 4
9711,Super built-up  Area,Not Ready,Ananth Nagar,500,1,1,14,1,46.4515,17133.2,368.8406187,Tier 4
11454,Super built-up  Area,Not Ready,Ananth Nagar,500,1,1,14,1,46.4515,17133.2,368.8406187,Tier 4
5614,Super built-up  Area,Ready To Move,Attibele,500,1,1,17,1,46.4515,20804.6,447.8778941,Tier 4
12203,Super built-up  Area,Ready To Move,Austin Town,500,1,1,13,1,46.4515,15909.4,342.4948602,Tier 4
64,Built-up  Area,Ready To Move,Bannerghatta Road,500,1,1,18.5,1,46.4515,22640.3,487.3965319,Tier 4
10456,Super built-up  Area,Ready To Move,Harsha Layout,500,1,1,16,1,46.4515,19580.8,421.5321357,Tier 4
2502,Carpet  Area,Ready To Move,Hulimavu,500,1,3,220,1,46.4515,269236,5796.066865,Tier 1
651,Built-up  Area,Ready To Move,Indira Nagar,500,1,0,70,1,46.4515,85666,1844.203094,Tier 1
1037,Built-up  Area,Ready To Move,Kengeri,500,1,1,17,1,46.4515,20804.6,447.8778941,Tier 4
9881,Super built-up  Area,Ready To Move,Kengeri Satellite Town Stage II,500,1,1,20,1,46.4515,24476,526.9151696,Tier 4
8238,Super built-up  Area,Ready To Move,Makali,500,1,1,15,1,46.4515,18357,395.1863772,Tier 4
4151,Plot  Area,Ready To Move,Mylasandra,500,2,0,80,1,46.4515,97904,2107.660678,Tier 1
1692,Built-up  Area,Ready To Move,Mysore Road,500,1,1,17.5,1,46.4515,21416.5,461.0507734,Tier 4
12760,Super built-up  Area,Ready To Move,Nagawara Junction,500,1,2,51,1,46.4515,62413.8,1343.633682,Tier 1
382,Built-up  Area,Ready To Move,Panduranga Nagar,500,1,0,20,1,46.4515,24476,526.9151696,Tier 4
5355,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,500,1,1,25,1,46.4515,30595,658.643962,Tier 3
737,Built-up  Area,Ready To Move,Sarvabhouma Nagar,500,1,0,24,1,46.4515,29371.2,632.2982035,Tier 3
5346,Super built-up  Area,Ready To Move,Yelahanka New Town,500,1,1,20,1,46.4515,24476,526.9151696,Tier 4
8688,Super built-up  Area,Ready To Move,Yelahanka New Town,500,2,1,24,1,46.4515,29371.2,632.2982035,Tier 3
10442,Super built-up  Area,Ready To Move,Yelahanka New Town,500,1,1,18,1,46.4515,22028.4,474.2236526,Tier 4
938,Built-up  Area,Ready To Move,Kengeri,502,1,1,25,1,46.637306,30595,656.0198825,Tier 3
1228,Built-up  Area,Ready To Move,Chamrajpet,505,1,0,85,1,46.916015,104023,2217.217298,Tier 1
13214,Super built-up  Area,Not Ready,Hoskote,509,1,1,23,1,47.287627,28147.4,595.2381582,Tier 3
11720,Super built-up  Area,Not Ready,Shauhardha Layout,509,1,1,20,1,47.287627,24476,517.5983984,Tier 4
4544,Super built-up  Area,Not Ready, Thanisandra,510,1,0,25.25,1,47.38053,30900.95,652.1866682,Tier 3
5435,Super built-up  Area,Not Ready, Thanisandra,510,1,1,25.25,1,47.38053,30900.95,652.1866682,Tier 3
1504,Built-up  Area,Ready To Move,Gowdanapalya,510,1,0,34,1,47.38053,41609.2,878.1919493,Tier 2
13287,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,510,1,1,22,1,47.38053,26923.6,568.2418496,Tier 3
431,Built-up  Area,Ready To Move,Bommanahalli,515,1,1,25,1,47.845045,30595,639.4601573,Tier 3
11602,Super built-up  Area,Ready To Move,Whitefield,516,1,1,39,1,47.937948,47728.2,995.6245937,Tier 1
2398,Built-up  Area,Ready To Move,Attibele,520,1,1,15,1,48.30956,18357,379.9869011,Tier 4
5590,Super built-up  Area,Ready To Move,Bommanahalli,520,1,0,19.5,1,48.30956,23864.1,493.9829715,Tier 4
7199,Super built-up  Area,Not Ready,Chandapura,520,1,1,14.04,1,48.30956,17182.152,355.6677395,Tier 4
12342,Super built-up  Area,Not Ready,Chandapura,520,1,1,14.04,1,48.30956,17182.152,355.6677395,Tier 4
13254,Super built-up  Area,Not Ready,Chandapura,520,1,1,14.04,1,48.30956,17182.152,355.6677395,Tier 4
3822,Plot  Area,Ready To Move,Kadabagere,520,2,0,29,1,48.30956,35490.2,734.6413422,Tier 2
11471,Super built-up  Area,Not Ready,Whitefield,524,1,1,29,1,48.681172,35490.2,729.033393,Tier 2
6768,Super built-up  Area,Not Ready,2nd Phase Judicial Layout,525,1,1,26,1,48.774075,31818.8,652.3711623,Tier 3
4732,Super built-up  Area,Not Ready,Kanakpura Road,525,1,1,26,1,48.774075,31818.8,652.3711623,Tier 3
4897,Super built-up  Area,Not Ready,Kanakpura Road,525,1,1,27.25,1,48.774075,33348.55,683.7351605,Tier 3
5078,Super built-up  Area,Not Ready,Kanakpura Road,525,1,1,30,1,48.774075,36714,752.7359566,Tier 2
5126,Super built-up  Area,Not Ready,Kanakpura Road,525,1,1,26,1,48.774075,31818.8,652.3711623,Tier 3
6525,Super built-up  Area,Not Ready,Kanakpura Road,525,1,1,25,1,48.774075,30595,627.2799638,Tier 3
